fecha,dolar_observado,anio,mes,dia,trimestre
2020-01-02,748.74,2020,1,2,1
2020-01-03,754.16,2020,1,3,1
2020-01-06,758.49,2020,1,6,1
2020-01-07,771.82,2020,1,7,1
2020-01-08,773.12,2020,1,8,1
2020-01-09,766.83,2020,1,9,1
2020-01-10,764.69,2020,1,10,1
2020-01-13,770.56,2020,1,13,1
2020-01-14,777.66,2020,1,14,1
2020-01-15,772.29,2020,1,15,1
2020-01-16,772.01,2020,1,16,1
2020-01-17,773.36,2020,1,17,1
2020-01-20,771.38,2020,1,20,1
2020-01-21,769.93,2020,1,21,1
2020-01-22,770.5,2020,1,22,1
2020-01-23,772.12,2020,1,23,1
2020-01-24,771.94,2020,1,24,1
2020-01-27,776.52,2020,1,27,1
2020-01-28,787.86,2020,1,28,1
2020-01-29,788.13,2020,1,29,1
2020-01-30,788.18,2020,1,30,1
2020-01-31,797.96,2020,1,31,1
2020-02-03,799.11,2020,2,3,1
2020-02-04,790.92,2020,2,4,1
2020-02-05,781.78,2020,2,5,1
2020-02-06,776.99,2020,2,6,1
2020-02-07,779.12,2020,2,7,1
2020-02-10,788.8,2020,2,10,1
2020-02-11,795.88,2020,2,11,1
2020-02-12,792.48,2020,2,12,1
2020-02-13,788.33,2020,2,13,1
2020-02-14,795.12,2020,2,14,1
2020-02-17,792.73,2020,2,17,1
2020-02-18,791.95,2020,2,18,1
2020-02-19,796.9,2020,2,19,1
2020-02-20,797.4,2020,2,20,1
2020-02-21,804.74,2020,2,21,1
2020-02-24,809.82,2020,2,24,1
2020-02-25,810.2,2020,2,25,1
2020-02-26,807.96,2020,2,26,1
2020-02-27,811.1,2020,2,27,1
2020-02-28,816.26,2020,2,28,1
2020-03-02,818.32,2020,3,2,1
2020-03-03,817.45,2020,3,3,1
2020-03-04,809.81,2020,3,4,1
2020-03-05,812.19,2020,3,5,1
2020-03-06,823.28,2020,3,6,1
2020-03-09,828.95,2020,3,9,1
2020-03-10,841.06,2020,3,10,1
2020-03-11,834.22,2020,3,11,1
2020-03-12,835.48,2020,3,12,1
2020-03-13,852.06,2020,3,13,1
2020-03-16,836.66,2020,3,16,1
2020-03-17,850.51,2020,3,17,1
2020-03-18,855.09,2020,3,18,1
2020-03-19,862.69,2020,3,19,1
2020-03-20,867.83,2020,3,20,1
2020-03-23,851.01,2020,3,23,1
2020-03-24,861.07,2020,3,24,1
2020-03-25,847.04,2020,3,25,1
2020-03-26,843.96,2020,3,26,1
2020-03-27,836.05,2020,3,27,1
2020-03-30,835.23,2020,3,30,1
2020-03-31,846.3,2020,3,31,1
2020-04-01,852.03,2020,4,1,2
2020-04-02,863.81,2020,4,2,2
2020-04-03,861.89,2020,4,3,2
2020-04-06,863.99,2020,4,6,2
2020-04-07,853.91,2020,4,7,2
2020-04-08,842.05,2020,4,8,2
2020-04-09,851.9,2020,4,9,2
2020-04-13,839.49,2020,4,13,2
2020-04-14,844.57,2020,4,14,2
2020-04-15,848.63,2020,4,15,2
2020-04-16,859.31,2020,4,16,2
2020-04-17,852.52,2020,4,17,2
2020-04-20,849.45,2020,4,20,2
2020-04-21,856.23,2020,4,21,2
2020-04-22,862.06,2020,4,22,2
2020-04-23,856.51,2020,4,23,2
2020-04-24,858.87,2020,4,24,2
2020-04-27,859.95,2020,4,27,2
2020-04-28,856.76,2020,4,28,2
2020-04-29,850.41,2020,4,29,2
2020-04-30,836.62,2020,4,30,2
2020-05-04,837.92,2020,5,4,2
2020-05-05,838.74,2020,5,5,2
2020-05-06,832.84,2020,5,6,2
2020-05-07,839.08,2020,5,7,2
2020-05-08,836.27,2020,5,8,2
2020-05-11,827.65,2020,5,11,2
2020-05-12,826.05,2020,5,12,2
2020-05-13,821.88,2020,5,13,2
2020-05-14,820.38,2020,5,14,2
2020-05-15,822.93,2020,5,15,2
2020-05-18,823.86,2020,5,18,2
2020-05-19,820.65,2020,5,19,2
2020-05-20,819.08,2020,5,20,2
2020-05-22,806.17,2020,5,22,2
2020-05-25,805.75,2020,5,25,2
2020-05-26,803.74,2020,5,26,2
2020-05-27,802.1,2020,5,27,2
2020-05-28,816.47,2020,5,28,2
2020-05-29,812.74,2020,5,29,2
2020-06-01,806.32,2020,6,1,2
2020-06-02,796.46,2020,6,2,2
2020-06-03,782.86,2020,6,3,2
2020-06-04,769.13,2020,6,4,2
2020-06-05,775.58,2020,6,5,2
2020-06-08,764.97,2020,6,8,2
2020-06-09,769.26,2020,6,9,2
2020-06-10,771.96,2020,6,10,2
2020-06-11,767.93,2020,6,11,2
2020-06-12,784.65,2020,6,12,2
2020-06-15,790.73,2020,6,15,2
2020-06-16,796.87,2020,6,16,2
2020-06-17,779.1,2020,6,17,2
2020-06-18,798.53,2020,6,18,2
2020-06-19,812.19,2020,6,19,2
2020-06-22,817.33,2020,6,22,2
2020-06-23,816.02,2020,6,23,2
2020-06-24,817.9,2020,6,24,2
2020-06-25,820.68,2020,6,25,2
2020-06-26,813.25,2020,6,26,2
2020-06-30,816.36,2020,6,30,2
2020-07-01,821.23,2020,7,1,3
2020-07-02,816.29,2020,7,2,3
2020-07-03,803.98,2020,7,3,3
2020-07-06,801.46,2020,7,6,3
2020-07-07,798.79,2020,7,7,3
2020-07-08,793.88,2020,7,8,3
2020-07-09,786.18,2020,7,9,3
2020-07-10,781.74,2020,7,10,3
2020-07-13,790.82,2020,7,13,3
2020-07-14,788.22,2020,7,14,3
2020-07-15,787.87,2020,7,15,3
2020-07-17,787.5,2020,7,17,3
2020-07-20,787.26,2020,7,20,3
2020-07-21,786.04,2020,7,21,3
2020-07-22,777.66,2020,7,22,3
2020-07-23,769.06,2020,7,23,3
2020-07-24,767.17,2020,7,24,3
2020-07-27,768.63,2020,7,27,3
2020-07-28,768.81,2020,7,28,3
2020-07-29,767.82,2020,7,29,3
2020-07-30,759.18,2020,7,30,3
2020-07-31,754.45,2020,7,31,3
2020-08-03,757.06,2020,8,3,3
2020-08-04,761.34,2020,8,4,3
2020-08-05,767.98,2020,8,5,3
2020-08-06,774.82,2020,8,6,3
2020-08-07,777.18,2020,8,7,3
2020-08-10,784.28,2020,8,10,3
2020-08-11,796.58,2020,8,11,3
2020-08-12,793.61,2020,8,12,3
2020-08-13,792.69,2020,8,13,3
2020-08-14,793.32,2020,8,14,3
2020-08-17,796.73,2020,8,17,3
2020-08-18,803.4,2020,8,18,3
2020-08-19,796.23,2020,8,19,3
2020-08-20,784.25,2020,8,20,3
2020-08-21,785.84,2020,8,21,3
2020-08-24,790.88,2020,8,24,3
2020-08-25,786.17,2020,8,25,3
2020-08-26,784.44,2020,8,26,3
2020-08-27,786.91,2020,8,27,3
2020-08-28,784.27,2020,8,28,3
2020-08-31,779.92,2020,8,31,3
2020-09-01,776.46,2020,9,1,3
2020-09-02,770.59,2020,9,2,3
2020-09-03,771.45,2020,9,3,3
2020-09-04,773.71,2020,9,4,3
2020-09-07,773.76,2020,9,7,3
2020-09-08,773.24,2020,9,8,3
2020-09-09,776.65,2020,9,9,3
2020-09-10,767.87,2020,9,10,3
2020-09-11,764.99,2020,9,11,3
2020-09-14,768.34,2020,9,14,3
2020-09-15,767.01,2020,9,15,3
2020-09-16,760.01,2020,9,16,3
2020-09-17,761.54,2020,9,17,3
2020-09-21,764.34,2020,9,21,3
2020-09-22,772.83,2020,9,22,3
2020-09-23,773.4,2020,9,23,3
2020-09-24,781.44,2020,9,24,3
2020-09-25,788.02,2020,9,25,3
2020-09-28,787.15,2020,9,28,3
2020-09-29,784.19,2020,9,29,3
2020-09-30,784.46,2020,9,30,3
2020-10-01,788.15,2020,10,1,4
2020-10-02,785.04,2020,10,2,4
2020-10-05,790.81,2020,10,5,4
2020-10-06,794.34,2020,10,6,4
2020-10-07,797.35,2020,10,7,4
2020-10-08,795.05,2020,10,8,4
2020-10-09,797.25,2020,10,9,4
2020-10-13,796.05,2020,10,13,4
2020-10-14,797.66,2020,10,14,4
2020-10-15,798.56,2020,10,15,4
2020-10-16,801.91,2020,10,16,4
2020-10-19,795.68,2020,10,19,4
2020-10-20,788.27,2020,10,20,4
2020-10-21,786.66,2020,10,21,4
2020-10-22,784.07,2020,10,22,4
2020-10-23,781.41,2020,10,23,4
2020-10-26,777.72,2020,10,26,4
2020-10-27,779.57,2020,10,27,4
2020-10-28,772.05,2020,10,28,4
2020-10-29,775.56,2020,10,29,4
2020-10-30,770.45,2020,10,30,4
2020-11-02,771.92,2020,11,2,4
2020-11-03,769.17,2020,11,3,4
2020-11-04,758.53,2020,11,4,4
2020-11-05,757.16,2020,11,5,4
2020-11-06,752.01,2020,11,6,4
2020-11-09,759.25,2020,11,9,4
2020-11-10,753.75,2020,11,10,4
2020-11-11,760.9,2020,11,11,4
2020-11-12,757.42,2020,11,12,4
2020-11-13,757.43,2020,11,13,4
2020-11-16,766.7,2020,11,16,4
2020-11-17,767.86,2020,11,17,4
2020-11-18,767.05,2020,11,18,4
2020-11-19,758.1,2020,11,19,4
2020-11-20,758.62,2020,11,20,4
2020-11-23,761.55,2020,11,23,4
2020-11-24,765.96,2020,11,24,4
2020-11-25,772.83,2020,11,25,4
2020-11-26,771.68,2020,11,26,4
2020-11-27,766.0,2020,11,27,4
2020-11-30,766.69,2020,11,30,4
2020-12-01,767.29,2020,12,1,4
2020-12-02,760.16,2020,12,2,4
2020-12-03,755.34,2020,12,3,4
2020-12-04,752.03,2020,12,4,4
2020-12-07,747.61,2020,12,7,4
2020-12-09,744.82,2020,12,9,4
2020-12-10,739.45,2020,12,10,4
2020-12-11,738.17,2020,12,11,4
2020-12-14,733.55,2020,12,14,4
2020-12-15,731.58,2020,12,15,4
2020-12-16,734.23,2020,12,16,4
2020-12-17,735.09,2020,12,17,4
2020-12-18,723.44,2020,12,18,4
2020-12-21,723.85,2020,12,21,4
2020-12-22,730.7,2020,12,22,4
2020-12-23,728.96,2020,12,23,4
2020-12-24,716.25,2020,12,24,4
2020-12-28,710.26,2020,12,28,4
2020-12-29,710.64,2020,12,29,4
2020-12-30,711.24,2020,12,30,4
2021-01-04,710.95,2021,1,4,1
2021-01-05,702.93,2021,1,5,1
2021-01-06,702.29,2021,1,6,1
2021-01-07,696.18,2021,1,7,1
2021-01-08,709.99,2021,1,8,1
2021-01-11,713.28,2021,1,11,1
2021-01-12,718.89,2021,1,12,1
2021-01-13,725.24,2021,1,13,1
2021-01-14,739.72,2021,1,14,1
2021-01-15,735.35,2021,1,15,1
2021-01-18,735.06,2021,1,18,1
2021-01-19,736.11,2021,1,19,1
2021-01-20,733.73,2021,1,20,1
2021-01-21,730.38,2021,1,21,1
2021-01-22,715.56,2021,1,22,1
2021-01-25,724.26,2021,1,25,1
2021-01-26,731.92,2021,1,26,1
2021-01-27,731.0,2021,1,27,1
2021-01-28,736.88,2021,1,28,1
2021-01-29,741.4,2021,1,29,1
2021-02-01,734.62,2021,2,1,1
2021-02-02,731.66,2021,2,2,1
2021-02-03,734.86,2021,2,3,1
2021-02-04,730.53,2021,2,4,1
2021-02-05,737.23,2021,2,5,1
2021-02-08,736.65,2021,2,8,1
2021-02-09,735.07,2021,2,9,1
2021-02-10,733.13,2021,2,10,1
2021-02-11,728.9,2021,2,11,1
2021-02-12,722.52,2021,2,12,1
2021-02-15,724.39,2021,2,15,1
2021-02-16,718.45,2021,2,16,1
2021-02-17,717.38,2021,2,17,1
2021-02-18,719.78,2021,2,18,1
2021-02-19,712.14,2021,2,19,1
2021-02-22,707.12,2021,2,22,1
2021-02-23,709.65,2021,2,23,1
2021-02-24,706.76,2021,2,24,1
2021-02-25,703.65,2021,2,25,1
2021-02-26,708.04,2021,2,26,1
2021-03-01,719.91,2021,3,1,1
2021-03-02,721.2,2021,3,2,1
2021-03-03,726.74,2021,3,3,1
2021-03-04,731.3,2021,3,4,1
2021-03-05,729.15,2021,3,5,1
2021-03-08,733.11,2021,3,8,1
2021-03-09,738.46,2021,3,9,1
2021-03-10,733.42,2021,3,10,1
2021-03-11,728.89,2021,3,11,1
2021-03-12,718.4,2021,3,12,1
2021-03-15,718.37,2021,3,15,1
2021-03-16,721.49,2021,3,16,1
2021-03-17,723.47,2021,3,17,1
2021-03-18,730.93,2021,3,18,1
2021-03-19,724.59,2021,3,19,1
2021-03-22,717.96,2021,3,22,1
2021-03-23,716.46,2021,3,23,1
2021-03-24,720.62,2021,3,24,1
2021-03-25,723.35,2021,3,25,1
2021-03-26,730.82,2021,3,26,1
2021-03-29,729.5,2021,3,29,1
2021-03-30,736.17,2021,3,30,1
2021-03-31,732.11,2021,3,31,1
2021-04-01,721.82,2021,4,1,2
2021-04-05,717.12,2021,4,5,2
2021-04-06,717.9,2021,4,6,2
2021-04-07,718.17,2021,4,7,2
2021-04-08,714.21,2021,4,8,2
2021-04-09,708.09,2021,4,9,2
2021-04-12,711.23,2021,4,12,2
2021-04-13,709.51,2021,4,13,2
2021-04-14,708.71,2021,4,14,2
2021-04-15,707.25,2021,4,15,2
2021-04-16,701.98,2021,4,16,2
2021-04-19,701.55,2021,4,19,2
2021-04-20,700.96,2021,4,20,2
2021-04-21,697.19,2021,4,21,2
2021-04-22,696.8,2021,4,22,2
2021-04-23,705.41,2021,4,23,2
2021-04-26,712.54,2021,4,26,2
2021-04-27,707.05,2021,4,27,2
2021-04-28,702.02,2021,4,28,2
2021-04-29,700.15,2021,4,29,2
2021-04-30,705.09,2021,4,30,2
2021-05-03,711.06,2021,5,3,2
2021-05-04,706.29,2021,5,4,2
2021-05-05,705.25,2021,5,5,2
2021-05-06,703.09,2021,5,6,2
2021-05-07,701.27,2021,5,7,2
2021-05-10,694.47,2021,5,10,2
2021-05-11,693.74,2021,5,11,2
2021-05-12,700.04,2021,5,12,2
2021-05-13,707.19,2021,5,13,2
2021-05-14,708.64,2021,5,14,2
2021-05-17,703.17,2021,5,17,2
2021-05-18,715.62,2021,5,18,2
2021-05-19,713.63,2021,5,19,2
2021-05-20,715.31,2021,5,20,2
2021-05-24,716.41,2021,5,24,2
2021-05-25,727.09,2021,5,25,2
2021-05-26,734.75,2021,5,26,2
2021-05-27,732.82,2021,5,27,2
2021-05-28,730.43,2021,5,28,2
2021-05-31,724.92,2021,5,31,2
2021-06-01,722.11,2021,6,1,2
2021-06-02,721.52,2021,6,2,2
2021-06-03,720.44,2021,6,3,2
2021-06-04,719.93,2021,6,4,2
2021-06-07,717.12,2021,6,7,2
2021-06-08,716.06,2021,6,8,2
2021-06-09,717.82,2021,6,9,2
2021-06-10,718.98,2021,6,10,2
2021-06-11,720.77,2021,6,11,2
2021-06-14,720.28,2021,6,14,2
2021-06-15,719.17,2021,6,15,2
2021-06-16,725.11,2021,6,16,2
2021-06-17,726.62,2021,6,17,2
2021-06-18,735.69,2021,6,18,2
2021-06-22,746.17,2021,6,22,2
2021-06-23,749.34,2021,6,23,2
2021-06-24,735.13,2021,6,24,2
2021-06-25,731.1,2021,6,25,2
2021-06-29,732.25,2021,6,29,2
2021-06-30,735.28,2021,6,30,2
2021-07-01,727.76,2021,7,1,3
2021-07-02,737.79,2021,7,2,3
2021-07-05,735.06,2021,7,5,3
2021-07-06,734.66,2021,7,6,3
2021-07-07,743.25,2021,7,7,3
2021-07-08,751.36,2021,7,8,3
2021-07-09,753.67,2021,7,9,3
2021-07-12,748.7,2021,7,12,3
2021-07-13,744.1,2021,7,13,3
2021-07-14,746.56,2021,7,14,3
2021-07-15,747.93,2021,7,15,3
2021-07-19,754.17,2021,7,19,3
2021-07-20,759.71,2021,7,20,3
2021-07-21,758.85,2021,7,21,3
2021-07-22,755.37,2021,7,22,3
2021-07-23,750.81,2021,7,23,3
2021-07-26,758.44,2021,7,26,3
2021-07-27,764.21,2021,7,27,3
2021-07-28,761.03,2021,7,28,3
2021-07-29,767.29,2021,7,29,3
2021-07-30,758.53,2021,7,30,3
2021-08-02,760.2,2021,8,2,3
2021-08-03,761.39,2021,8,3,3
2021-08-04,774.54,2021,8,4,3
2021-08-05,775.54,2021,8,5,3
2021-08-06,776.69,2021,8,6,3
2021-08-09,784.5,2021,8,9,3
2021-08-10,787.4,2021,8,10,3
2021-08-11,780.08,2021,8,11,3
2021-08-12,773.01,2021,8,12,3
2021-08-13,772.78,2021,8,13,3
2021-08-16,774.25,2021,8,16,3
2021-08-17,784.18,2021,8,17,3
2021-08-18,789.62,2021,8,18,3
2021-08-19,787.71,2021,8,19,3
2021-08-20,789.98,2021,8,20,3
2021-08-23,786.43,2021,8,23,3
2021-08-24,783.3,2021,8,24,3
2021-08-25,782.17,2021,8,25,3
2021-08-26,783.03,2021,8,26,3
2021-08-27,785.06,2021,8,27,3
2021-08-30,784.39,2021,8,30,3
2021-08-31,779.97,2021,8,31,3
2021-09-01,775.14,2021,9,1,3
2021-09-02,767.1,2021,9,2,3
2021-09-03,768.36,2021,9,3,3
2021-09-06,766.53,2021,9,6,3
2021-09-07,770.33,2021,9,7,3
2021-09-08,777.94,2021,9,8,3
2021-09-09,787.51,2021,9,9,3
2021-09-10,791.28,2021,9,10,3
2021-09-13,789.91,2021,9,13,3
2021-09-14,784.26,2021,9,14,3
2021-09-15,783.25,2021,9,15,3
2021-09-16,781.85,2021,9,16,3
2021-09-20,780.59,2021,9,20,3
2021-09-21,788.05,2021,9,21,3
2021-09-22,785.1,2021,9,22,3
2021-09-23,785.03,2021,9,23,3
2021-09-24,787.24,2021,9,24,3
2021-09-27,788.98,2021,9,27,3
2021-09-28,795.48,2021,9,28,3
2021-09-29,798.63,2021,9,29,3
2021-09-30,803.59,2021,9,30,3
2021-10-01,811.9,2021,10,1,4
2021-10-04,803.9,2021,10,4,4
2021-10-05,805.89,2021,10,5,4
2021-10-06,810.63,2021,10,6,4
2021-10-07,816.28,2021,10,7,4
2021-10-08,813.62,2021,10,8,4
2021-10-12,820.18,2021,10,12,4
2021-10-13,827.56,2021,10,13,4
2021-10-14,820.19,2021,10,14,4
2021-10-15,816.81,2021,10,15,4
2021-10-18,826.19,2021,10,18,4
2021-10-19,820.29,2021,10,19,4
2021-10-20,813.33,2021,10,20,4
2021-10-21,811.55,2021,10,21,4
2021-10-22,817.61,2021,10,22,4
2021-10-25,816.58,2021,10,25,4
2021-10-26,810.16,2021,10,26,4
2021-10-27,806.55,2021,10,27,4
2021-10-28,804.32,2021,10,28,4
2021-10-29,805.47,2021,10,29,4
2021-11-02,810.91,2021,11,2,4
2021-11-03,814.42,2021,11,3,4
2021-11-04,815.52,2021,11,4,4
2021-11-05,815.58,2021,11,5,4
2021-11-08,812.4,2021,11,8,4
2021-11-09,806.61,2021,11,9,4
2021-11-10,797.78,2021,11,10,4
2021-11-11,791.71,2021,11,11,4
2021-11-12,791.3,2021,11,12,4
2021-11-15,797.8,2021,11,15,4
2021-11-16,801.96,2021,11,16,4
2021-11-17,806.24,2021,11,17,4
2021-11-18,819.56,2021,11,18,4
2021-11-19,834.57,2021,11,19,4
2021-11-22,832.72,2021,11,22,4
2021-11-23,808.14,2021,11,23,4
2021-11-24,809.94,2021,11,24,4
2021-11-25,811.7,2021,11,25,4
2021-11-26,819.59,2021,11,26,4
2021-11-29,829.94,2021,11,29,4
2021-11-30,836.73,2021,11,30,4
2021-12-01,837.55,2021,12,1,4
2021-12-02,828.17,2021,12,2,4
2021-12-03,837.72,2021,12,3,4
2021-12-06,837.69,2021,12,6,4
2021-12-07,842.32,2021,12,7,4
2021-12-09,839.53,2021,12,9,4
2021-12-10,841.32,2021,12,10,4
2021-12-13,849.16,2021,12,13,4
2021-12-14,843.43,2021,12,14,4
2021-12-15,846.43,2021,12,15,4
2021-12-16,848.52,2021,12,16,4
2021-12-17,849.65,2021,12,17,4
2021-12-20,846.64,2021,12,20,4
2021-12-21,863.21,2021,12,21,4
2021-12-22,868.76,2021,12,22,4
2021-12-23,866.25,2021,12,23,4
2021-12-24,857.14,2021,12,24,4
2021-12-27,863.29,2021,12,27,4
2021-12-28,858.59,2021,12,28,4
2021-12-29,855.94,2021,12,29,4
2021-12-30,850.25,2021,12,30,4
2022-01-03,844.69,2022,1,3,1
2022-01-04,851.43,2022,1,4,1
2022-01-05,852.03,2022,1,5,1
2022-01-06,841.63,2022,1,6,1
2022-01-07,838.88,2022,1,7,1
2022-01-10,831.59,2022,1,10,1
2022-01-11,831.39,2022,1,11,1
2022-01-12,832.6,2022,1,12,1
2022-01-13,826.51,2022,1,13,1
2022-01-14,821.87,2022,1,14,1
2022-01-17,815.39,2022,1,17,1
2022-01-18,822.0,2022,1,18,1
2022-01-19,820.6,2022,1,19,1
2022-01-20,813.46,2022,1,20,1
2022-01-21,805.25,2022,1,21,1
2022-01-24,799.23,2022,1,24,1
2022-01-25,800.31,2022,1,25,1
2022-01-26,806.06,2022,1,26,1
2022-01-27,798.86,2022,1,27,1
2022-01-28,799.15,2022,1,28,1
2022-01-31,810.12,2022,1,31,1
2022-02-01,803.88,2022,2,1,1
2022-02-02,801.52,2022,2,2,1
2022-02-03,805.95,2022,2,3,1
2022-02-04,817.29,2022,2,4,1
2022-02-07,825.58,2022,2,7,1
2022-02-08,826.93,2022,2,8,1
2022-02-09,824.33,2022,2,9,1
2022-02-10,820.79,2022,2,10,1
2022-02-11,804.2,2022,2,11,1
2022-02-14,806.24,2022,2,14,1
2022-02-15,812.24,2022,2,15,1
2022-02-16,804.17,2022,2,16,1
2022-02-17,799.55,2022,2,17,1
2022-02-18,798.98,2022,2,18,1
2022-02-21,793.91,2022,2,21,1
2022-02-22,799.99,2022,2,22,1
2022-02-23,796.25,2022,2,23,1
2022-02-24,787.05,2022,2,24,1
2022-02-25,807.26,2022,2,25,1
2022-02-28,805.25,2022,2,28,1
2022-03-01,798.01,2022,3,1,1
2022-03-02,803.27,2022,3,2,1
2022-03-03,807.31,2022,3,3,1
2022-03-04,800.97,2022,3,4,1
2022-03-07,806.89,2022,3,7,1
2022-03-08,808.6,2022,3,8,1
2022-03-09,812.03,2022,3,9,1
2022-03-10,803.57,2022,3,10,1
2022-03-11,806.03,2022,3,11,1
2022-03-14,802.48,2022,3,14,1
2022-03-15,808.41,2022,3,15,1
2022-03-16,815.03,2022,3,16,1
2022-03-17,803.55,2022,3,17,1
2022-03-18,798.13,2022,3,18,1
2022-03-21,802.23,2022,3,21,1
2022-03-22,798.5,2022,3,22,1
2022-03-23,793.22,2022,3,23,1
2022-03-24,794.44,2022,3,24,1
2022-03-25,789.87,2022,3,25,1
2022-03-28,785.89,2022,3,28,1
2022-03-29,778.62,2022,3,29,1
2022-03-30,777.1,2022,3,30,1
2022-03-31,787.16,2022,3,31,1
2022-04-01,787.98,2022,4,1,2
2022-04-04,783.45,2022,4,4,2
2022-04-05,779.33,2022,4,5,2
2022-04-06,783.28,2022,4,6,2
2022-04-07,794.58,2022,4,7,2
2022-04-08,807.88,2022,4,8,2
2022-04-11,814.28,2022,4,11,2
2022-04-12,818.53,2022,4,12,2
2022-04-13,806.73,2022,4,13,2
2022-04-14,804.78,2022,4,14,2
2022-04-18,814.73,2022,4,18,2
2022-04-19,817.7,2022,4,19,2
2022-04-20,818.18,2022,4,20,2
2022-04-21,816.29,2022,4,21,2
2022-04-22,817.85,2022,4,22,2
2022-04-25,834.45,2022,4,25,2
2022-04-26,850.85,2022,4,26,2
2022-04-27,847.57,2022,4,27,2
2022-04-28,847.44,2022,4,28,2
2022-04-29,856.58,2022,4,29,2
2022-05-02,850.78,2022,5,2,2
2022-05-03,860.64,2022,5,3,2
2022-05-04,856.74,2022,5,4,2
2022-05-05,859.33,2022,5,5,2
2022-05-06,863.1,2022,5,6,2
2022-05-09,857.58,2022,5,9,2
2022-05-10,867.87,2022,5,10,2
2022-05-11,868.06,2022,5,11,2
2022-05-12,861.76,2022,5,12,2
2022-05-13,867.93,2022,5,13,2
2022-05-16,861.04,2022,5,16,2
2022-05-17,857.98,2022,5,17,2
2022-05-18,850.78,2022,5,18,2
2022-05-19,849.9,2022,5,19,2
2022-05-20,842.38,2022,5,20,2
2022-05-23,833.58,2022,5,23,2
2022-05-24,829.59,2022,5,24,2
2022-05-25,833.99,2022,5,25,2
2022-05-26,835.43,2022,5,26,2
2022-05-27,829.61,2022,5,27,2
2022-05-30,822.25,2022,5,30,2
2022-05-31,826.26,2022,5,31,2
2022-06-01,824.35,2022,6,1,2
2022-06-02,825.28,2022,6,2,2
2022-06-03,815.56,2022,6,3,2
2022-06-06,813.38,2022,6,6,2
2022-06-07,817.99,2022,6,7,2
2022-06-08,828.99,2022,6,8,2
2022-06-09,821.66,2022,6,9,2
2022-06-10,827.19,2022,6,10,2
2022-06-13,838.61,2022,6,13,2
2022-06-14,863.33,2022,6,14,2
2022-06-15,866.79,2022,6,15,2
2022-06-16,863.95,2022,6,16,2
2022-06-17,869.62,2022,6,17,2
2022-06-20,875.65,2022,6,20,2
2022-06-22,880.82,2022,6,22,2
2022-06-23,886.64,2022,6,23,2
2022-06-24,898.8,2022,6,24,2
2022-06-28,911.49,2022,6,28,2
2022-06-29,905.32,2022,6,29,2
2022-06-30,919.97,2022,6,30,2
2022-07-01,932.08,2022,7,1,3
2022-07-04,934.54,2022,7,4,3
2022-07-05,927.53,2022,7,5,3
2022-07-06,948.51,2022,7,6,3
2022-07-07,972.66,2022,7,7,3
2022-07-08,959.7,2022,7,8,3
2022-07-11,966.74,2022,7,11,3
2022-07-12,989.95,2022,7,12,3
2022-07-13,1008.81,2022,7,13,3
2022-07-14,1010.16,2022,7,14,3
2022-07-15,1042.97,2022,7,15,3
2022-07-18,988.22,2022,7,18,3
2022-07-19,940.9,2022,7,19,3
2022-07-20,929.83,2022,7,20,3
2022-07-21,919.93,2022,7,21,3
2022-07-22,927.49,2022,7,22,3
2022-07-25,932.83,2022,7,25,3
2022-07-26,941.03,2022,7,26,3
2022-07-27,922.04,2022,7,27,3
2022-07-28,920.49,2022,7,28,3
2022-07-29,911.42,2022,7,29,3
2022-08-01,905.1,2022,8,1,3
2022-08-02,893.19,2022,8,2,3
2022-08-03,897.22,2022,8,3,3
2022-08-04,907.82,2022,8,4,3
2022-08-05,903.91,2022,8,5,3
2022-08-08,914.49,2022,8,8,3
2022-08-09,906.03,2022,8,9,3
2022-08-10,900.78,2022,8,10,3
2022-08-11,889.38,2022,8,11,3
2022-08-12,882.33,2022,8,12,3
2022-08-16,882.72,2022,8,16,3
2022-08-17,882.2,2022,8,17,3
2022-08-18,895.76,2022,8,18,3
2022-08-19,918.2,2022,8,19,3
2022-08-22,945.35,2022,8,22,3
2022-08-23,945.47,2022,8,23,3
2022-08-24,926.94,2022,8,24,3
2022-08-25,915.6,2022,8,25,3
2022-08-26,910.03,2022,8,26,3
2022-08-29,900.22,2022,8,29,3
2022-08-30,890.9,2022,8,30,3
2022-08-31,882.11,2022,8,31,3
2022-09-01,898.04,2022,9,1,3
2022-09-02,898.24,2022,9,2,3
2022-09-05,885.52,2022,9,5,3
2022-09-06,866.28,2022,9,6,3
2022-09-07,888.51,2022,9,7,3
2022-09-08,886.34,2022,9,8,3
2022-09-09,881.04,2022,9,9,3
2022-09-12,885.15,2022,9,12,3
2022-09-13,898.69,2022,9,13,3
2022-09-14,910.27,2022,9,14,3
2022-09-15,917.11,2022,9,15,3
2022-09-20,922.6,2022,9,20,3
2022-09-21,928.25,2022,9,21,3
2022-09-22,938.82,2022,9,22,3
2022-09-23,943.07,2022,9,23,3
2022-09-26,965.18,2022,9,26,3
2022-09-27,987.07,2022,9,27,3
2022-09-28,982.83,2022,9,28,3
2022-09-29,971.14,2022,9,29,3
2022-09-30,966.0,2022,9,30,3
2022-10-03,960.24,2022,10,3,4
2022-10-04,955.42,2022,10,4,4
2022-10-05,931.12,2022,10,5,4
2022-10-06,942.02,2022,10,6,4
2022-10-07,943.92,2022,10,7,4
2022-10-11,945.06,2022,10,11,4
2022-10-12,933.88,2022,10,12,4
2022-10-13,933.14,2022,10,13,4
